PROJECT_ID,SAMPLE_ID,INCLUDE,BLANK_OR_CONTROL,ENRICHMENT,ENV_BIOME,ENV_FEATURE,ENV_MATERIAL,LATITUDE,LONGITUDE,PH,TEMPERATURE
DCO_SAR2,C1_IR_Bac,null,null,null,null,null,null,null,null,null,null
DCO_SAR2,C1_NR_Bac,null,null,null,null,null,null,null,null,null,null
DCO_SAR2,C1_SR_Bac,null,null,null,null,null,null,null,null,null,null
DCO_SAR2,C2_AA_Bac,null,null,null,null,null,null,null,null,null,null
DCO_SAR2,C2_AM_Bac,null,null,null,null,null,null,null,null,null,null
DCO_SAR2,C2_IR_Bac,null,null,null,null,null,null,null,null,null,null
DCO_SAR2,C2_NR_Bac,null,null,null,null,null,null,null,null,null,null
DCO_SAR2,C2_SR_Bac,null,null,null,null,null,null,null,null,null,null
DCO_SAR2,RC_Bac,null,null,null,null,null,null,null,null,null,null
DCO_SHER,Kidd_Creek_SW_2015,FALSE,FALSE,TRUE,"terrestrial biome",mine,water,48.46,-81.27,7.02,23.7
DCO_SWIR,RS_644_12A1,TRUE,FALSE,FALSE,"marine biome","hydrothermal vent",null,-27.8428,64.5893,null,null
DCO_SWIR,RS_644_12A2,TRUE,FALSE,FALSE,"marine biome","hydrothermal vent",null,-27.8428,64.5893,null,null
DCO_SWIR,RS_644_12B1,TRUE,FALSE,FALSE,"marine biome","hydrothermal vent",null,-27.8428,64.5893,null,null
DCO_SWIR,RS_644_12B2,TRUE,FALSE,FALSE,"marine biome","hydrothermal vent",null,-27.8428,64.5893,null,null
DCO_SWIR,RS_644_24B1,TRUE,FALSE,FALSE,"marine biome","hydrothermal vent",null,-27.843,64.5941,8.01,null
DCO_SWIR,RS_644_24B2,TRUE,FALSE,FALSE,"marine biome","hydrothermal vent",null,-27.843,64.5941,8.01,null
DCO_SWIR,RS_644_25A1,TRUE,FALSE,FALSE,"marine biome","hydrothermal vent",null,-27.8436,64.5938,7.88,null
DCO_SWIR,RS_644_25A2,TRUE,FALSE,FALSE,"marine biome","hydrothermal vent",null,-27.8436,64.5938,7.88,null
DCO_SWIR,RS_644_25B1,TRUE,FALSE,FALSE,"marine biome","hydrothermal vent",null,-27.8436,64.5938,7.88,null
DCO_SWIR,RS_644_25B2,TRUE,FALSE,FALSE,"marine biome","hydrothermal vent",null,-27.8436,64.5938,7.88,null
DCO_SWIR,RS_644_28A1,TRUE,FALSE,FALSE,"marine biome","hydrothermal vent",null,-27.843,64.5882,8.18,null
DCO_SWIR,RS_644_28A2,TRUE,FALSE,FALSE,"marine biome","hydrothermal vent",null,-27.843,64.5882,8.18,null
DCO_SWIR,RS_644_28B1,TRUE,FALSE,FALSE,"marine biome","hydrothermal vent",null,-27.843,64.5882,8.18,null
DCO_SWIR,RS_644_28B2,TRUE,FALSE,FALSE,"marine biome","hydrothermal vent",null,-27.843,64.5882,8.18,null
DCO_SWIR,RS_649_20B1,TRUE,FALSE,FALSE,"marine biome","hydrothermal vent",null,-27.8406,64.5911,7.94,null
DCO_SWIR,RS_649_20B2,TRUE,FALSE,FALSE,"marine biome","hydrothermal vent",null,-27.8406,64.5911,7.94,null
